name_medieval,name_modern,lat,lon,part,tier,note
Hierusalem,Jerusalem,31.778,35.235,Asia,1,"Umbilicus mundi — the navel of the world, center of the mappa mundi"
Roma,Rome,41.902,12.496,Europa,1,Seat of the Papacy and the old Empire
Constantinopolis,Istanbul,41.008,28.978,Europa,1,"New Rome, capital of the Greeks"
Alexandria,Alexandria,31.2,29.918,Africa,1,"Great port of Egypt, seat of a Patriarch"
Antiochia,Antakya,36.202,36.161,Asia,1,"Chief city of Syria, crusader principality"
Babylonia (Cairus),Cairo,30.044,31.236,Africa,1,"'Babylon of Egypt', seat of the Sultan"
Baldacum,Baghdad,33.315,44.366,Asia,1,"Baghdad, seat of the Caliph of the East"
Damascus,Damascus,33.513,36.292,Asia,1,Great city of Syria
Mecha,Mecca,21.423,39.826,Asia,2,Holy city of the Saracens
Medina,Medina,24.47,39.611,Asia,3,City of the Prophet
Parisius,Paris,48.857,2.352,Europa,1,"Capital of the Franks, great university"
Londinium,London,51.507,-0.128,Europa,1,Chief city of the English
Colonia,Cologne,50.938,6.96,Europa,2,"Holy city of the Rhine, relics of the Magi"
Aquisgranum,Aachen,50.776,6.084,Europa,2,Charlemagne's imperial seat
Venetia,Venice,45.438,12.336,Europa,1,"Queen of the Adriatic, gate to the East"
Ianua,Genoa,44.406,8.933,Europa,2,"Maritime republic, Levant trade"
Florentia,Florence,43.769,11.256,Europa,2,Banking city of Tuscany
Mediolanum,Milan,45.464,9.19,Europa,2,Great city of Lombardy
Neapolis,Naples,40.851,14.268,Europa,2,Capital of the southern kingdom
Ravenna,Ravenna,44.418,12.203,Europa,3,Old exarchate capital
Pisa,Pisa,43.716,10.401,Europa,3,Maritime republic of Tuscany
Bononia,Bologna,44.494,11.343,Europa,3,Oldest university
Panormus,Palermo,38.116,13.361,Europa,2,Capital of Sicily
Salernum,Salerno,40.681,14.759,Europa,3,Famed medical school
Corduba,Cordoba,37.888,-4.779,Europa,2,Great city of al-Andalus
Toletum,Toledo,39.858,-4.024,Europa,2,City of translators
Hispalis,Seville,37.389,-5.994,Europa,3,Andalusian port
Granata,Granada,37.177,-3.598,Europa,3,Last Moorish emirate
Compostella,Santiago de Compostela,42.881,-8.545,Europa,2,Pilgrimage to St James
Olisipo,Lisbon,38.722,-9.139,Europa,3,Atlantic port of Portugal
Caesaraugusta,Zaragoza,41.649,-0.887,Europa,3,City of the Ebro
Barcino,Barcelona,41.385,2.173,Europa,3,Catalan sea-port
Massilia,Marseille,43.296,5.37,Europa,3,Ancient Greek port of Gaul
Tolosa,Toulouse,43.605,1.444,Europa,3,City of the Garonne
Avinio,Avignon,43.949,4.806,Europa,2,Second seat of the Popes
Remi,Reims,49.258,4.032,Europa,3,Coronation city of French kings
Rothomagus,Rouen,49.443,1.099,Europa,3,Capital of Normandy
Brugae,Bruges,51.209,3.224,Europa,2,Cloth and banking of Flanders
Gandavum,Ghent,51.054,3.717,Europa,3,Flemish cloth town
Argentoratum,Strasbourg,48.573,7.752,Europa,3,Free city of the Rhine
