id	medieval	modern
accon	Accon	Acre
alexandria	Alexandria	Alexandria
antiochia	Antiochia	Antakya
babylonia-cairus	Babylonia (Cairus)	Cairo
baldacum	Baldacum	Baghdad
basora	Basora	Basra
berrhoea	Berrhoea	Aleppo
bethleem	Bethleem	Bethlehem
caffa	Caffa	Feodosia
camadi	Camadi	Jiroft (ruins)
constantinopolis	Constantinopolis	Istanbul
ctesiphon	Ctesiphon	Ctesiphon
damascus	Damascus	Damascus
edessa	Edessa	Şanlıurfa
ephesus	Ephesus	Selçuk
hierusalem	Hierusalem	Jerusalem
ispahan	Ispahan	Isfahan
kerman	Kerman	Kerman
kiovia	Kiovia	Kyiv
moscovia	Moscovia	Moscow
nicaea	Nicaea	İznik
ninive	Ninive	Mosul
novogardia	Novogardia	Novgorod
petra	Petra	Petra
smyrna	Smyrna	İzmir
tana-azov	Tana (Azov)	Azov
tarsus	Tarsus	Tarsus
trapezus	Trapezus	Trabzon
tripolis	Tripolis	Tripoli (Lebanon)
tyrus	Tyrus	Tyre
bochara	Bochara	Bukhara
cabul	Cabul	Kabul
camul	Camul	Hami
charchan	Charchan	Qiemo
delli	Delli	Delhi
keshimur	Keshimur	Srinagar
merva	Merva	Merv
pein	Pein	Keriya
sachiu	Sachiu	Dunhuang
samara	Samara	Sumatra (Banda Aceh)
sapurgan	Sapurgan	Shibarghan
taican	Taican	Taloqan
yarcan	Yarcan	Yarkand
egrigaia	Egrigaia	Yinchuan
tenduc	Tenduc	Tokto / Hohhot
cacanfu	Cacanfu	Hejian
cachanfu	Cachanfu	Puzhou (Yongji)
caiju	Caiju	Guazhou
chinangli	Chinangli	Cangzhou
chinghianfu	Chinghianfu	Zhenjiang
chinginju	Chinginju	Changzhou
coigangiu	Coigangiu	Huaiyin
coiganju	Coiganju	Huai'an
etzina	Etzina	Khara-Khoto (ruins)
fuju	Fuju	Fuzhou
kenjanfu	Kenjanfu	Xi'an
linju	Linju	Lingxian
mien	Mien	Bagan (Pagan)
paukin	Paukin	Baoying
saianfu	Saianfu	Xiangyang
siju	Siju	Pizhou
sindafu	Sindafu	Chengdu
sinju	Sinju	Yizheng
sinjumatu	Sinjumatu	Jining
suju	Suju	Suzhou
tanpiju	Tanpiju	Tonglu
tiju	Tiju	Gaoyou
aden	Aden	Aden
axuma	Axuma	Axum
cail	Cail	Kayalpattinam
calatu	Calatu	Qalhat
cambaet	Cambaet	Khambhat (Cambay)
coilum	Coilum	Kollam (Quilon)
dongola	Dongola	Dongola
dufar	Dufar	Salalah (Dhofar)
esher	Esher	Ash-Shihr
maabar	Maabar	Coromandel (Nagapattinam)
mecha	Mecha	Mecca
medina	Medina	Medina
melibar	Melibar	Malabar (Kozhikode)
semenat	Semenat	Somnath
tana	Tana	Thane
chamba	Chamba	Champa (Qui Nhon)
java-major	Java Major	Java (Jakarta)
pentam	Pentam	Bintan
